origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1953,Designed by Evelyn Hill Anselevicius,Woven Textile,Wool plain weave,http://www.philamuseum.org/images/cad/large/1983-42-1-pma.jpg,58 x 35 3/4 inches (147.3 x 90.8 cm),,,78bd226a1be5
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1951,Designed by Evelyn Hill Anselevicius,Woven Textile,"Wool, viscose, rayon, synthetic raffia",http://www.philamuseum.org/images/cad/large/1983-42-2-pma.jpg,104 x 35 inches (264.2 x 88.9 cm),,,76eb7f7cbd70
"Made in Boston, Massachusetts, United States, North and Central America",,American,Costume and Textiles,c. 1750,Made by Hannah Andrews,Coat of Arms of the Andrews Family,"Silk satin weave with silk and gilt thread embroidery in couching, stem, and encroaching satin stitches and laid work",http://www.philamuseum.org/images/cad/large/1956-68-42.jpg,21 x 19 inches (53.3 x 48.3 cm),1742,1831,dd27cf0873d5
"Made in Mexico, North and Central America",,MexicanorSpanish,Costume and Textiles,1838,Teresa Alonso,Sampler,"Ivory linen plain weave with multicolored silk embroidery in cross, gobelin and satin stitches; pink silk satin ribbon; white silk braid with fringe",http://www.philamuseum.org/images/cad/large/2000-8-4-rec.jpg,19 1/2 x 19 inches (49.5 x 48.3 cm),,,bc9cf378c5ef
"Made in Concord, New Hampshire, United States, North and Central America",,American,Costume and Textiles,Early 19th century,Embroidered by Hannah Abbott,Sampler,"Silk on canvas; cross, feather, and satin stitches",http://www.philamuseum.org/images/cad/large/1969-288-191-dept.jpg,13 x 12 1/2 inches (33 x 31.8 cm),,,aa3286be02ee
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1951,Designed by Evelyn Hill Anselevicius,Woven Textile,"Wool, viscose, rayon, synthetic raffia",http://www.philamuseum.org/images/cad/large/1983-42-2-pma.jpg,104 x 35 inches (264.2 x 88.9 cm),,,e01a6246b032
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1953,Designed by Evelyn Hill Anselevicius,Woven Textile,Wool plain weave,http://www.philamuseum.org/images/cad/large/1983-42-1-pma.jpg,58 x 35 3/4 inches (147.3 x 90.8 cm),,,e0afe41a6222
"Made in Boston, Massachusetts, United States, North and Central America",,American,Costume and Textiles,c. 1750,Made by Hannah Andrews,Coat of Arms of the Andrews Family,"Silk satin weave with silk and gilt thread embroidery in couching, stem, and encroaching satin stitches and laid work",http://www.philamuseum.org/images/cad/large/1956-68-42.jpg,21 x 19 inches (53.3 x 48.3 cm),1742,1831,6aaaadbc3178
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1953,Designed by Evelyn Hill Anselevicius,Woven Textile,Wool plain weave,http://www.philamuseum.org/images/cad/large/1983-42-1-pma.jpg,58 x 35 3/4 inches (147.3 x 90.8 cm),,,28440c6ba49d
"Made in United States, North and Central America",,American.MadebyKnollTextiles,Costume and Textiles,1951,Designed by Evelyn Hill Anselevicius,Woven Textile,"Wool, viscose, rayon, synthetic raffia",http://www.philamuseum.org/images/cad/large/1983-42-2-pma.jpg,104 x 35 inches (264.2 x 88.9 cm),,,5f7a4cff628c
"Made in Concord, New Hampshire, United States, North and Central America",,American,Costume and Textiles,Early 19th century,Embroidered by Hannah Abbott,Sampler,"Silk on canvas; cross, feather, and satin stitches",http://www.philamuseum.org/images/cad/large/1969-288-191-dept.jpg,13 x 12 1/2 inches (33 x 31.8 cm),,,b88d80e97b53
"Made in Mexico, North and Central America",,MexicanorSpanish,Costume and Textiles,1838,Teresa Alonso,Sampler,"Ivory linen plain weave with multicolored silk embroidery in cross, gobelin and satin stitches; pink silk satin ribbon; white silk braid with fringe",http://www.philamuseum.org/images/cad/large/2000-8-4-rec.jpg,19 1/2 x 19 inches (49.5 x 48.3 cm),,,0f3a9b22b373
"Made in Mexico, North and Central America",,MexicanorSpanish,Costume and Textiles,1838,Teresa Alonso,Sampler,"Ivory linen plain weave with multicolored silk embroidery in cross, gobelin and satin stitches; pink silk satin ribbon; white silk braid with fringe",http://www.philamuseum.org/images/cad/large/2000-8-4-rec.jpg,19 1/2 x 19 inches (49.5 x 48.3 cm),,,4bebd5066798
"Made in Boston, Massachusetts, United States, North and Central America",,American,Costume and Textiles,c. 1750,Made by Hannah Andrews,Coat of Arms of the Andrews Family,"Silk satin weave with silk and gilt thread embroidery in couching, stem, and encroaching satin stitches and laid work",http://www.philamuseum.org/images/cad/large/1956-68-42.jpg,21 x 19 inches (53.3 x 48.3 cm),1742,1831,18015ea4cdcf
"Made in Concord, New Hampshire, United States, North and Central America",,American,Costume and Textiles,Early 19th century,Embroidered by Hannah Abbott,Sampler,"Silk on canvas; cross, feather, and satin stitches",http://www.philamuseum.org/images/cad/large/1969-288-191-dept.jpg,13 x 12 1/2 inches (33 x 31.8 cm),,,aa828f0e00cd
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,c. 1800,John Aitken,Creamer,Silver,http://www.philamuseum.org/images/cad/large/2005-68-1-ov.jpg,"6 5/8 x 4 7/8 inches (16.8 x 12.4 cm)
Diameter (of base): 2 5/8 inches (6.7 cm)
Weight: 5 ounces (0.14 kg)",1745,1831,1b3222ce4aca
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American(bornScotland),American Art,1780-90,John Aitken,Cream Pot,Silver,http://www.philamuseum.org/images/cad/large/1950-12-3-ov.jpg,"5 x 5 3/16 inches (12.7 x 13.2 cm)
Weight: 7 ounces 10 dwt",1745,1831,0fc81047945b
"Made in Taxco, Mexico, North and Central America",,Mexican(activeTaxco),European Decorative Arts and Sculpture,c. 1940,H茅ctor Aguilar,Footed Dish,Silver,http://www.philamuseum.org/images/cad/large/1988-68-20-ov.jpg,2 x 8 7/8 x 5 3/16 inches (5.1 x 22.5 x 13.2 cm),1905,1986,4eb81120f4c7
