artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
George Washington: Design for an Engraving,Alonzo Chappel,American,1828,1887,1860?,Oil on paper mounted on paper and unstretched canvas,16 5/8 x 12 5/8 in. (42.2 x 32.1 cm),Paintings,"Gift of William H. Huntington, 1883"
Model B,Milton Resnick,,1917,2004,1958,Oil on canvas,"H. 67-1/2, W. 80-3/4 inches (171.5 x 205.1 cm.)",Paintings,"Anonymous Gift, 1995"
To A Water Lily,I.J. Belmont,American,1877,1964,1915?,Oil on canvas,"H. 20, W. 14 inches (50.8 x 35.6 cm.)",Paintings,"Gift of Elsie K. Belmont, 1979"
Apple Blossoms,Charles Caryl Coleman,,1840,1928,1889,Oil on canvas,62 3/8 x 35 in. (158.4 x 88.9 cm),Paintings,"Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996"
Bob Hale's Death,Steven Hawley,American,1950,,1988,"Oil, wax, alkyd on canvas","H. 22-1/8, W. 20-1/8 inches (56.2 x 51.1 cm.)",Paintings,"Gift of Melinda Ann Farrell, 1994"
Beckmann Catalogue,Warren Brandt,American,1918,2002,1986,Oil on canvas,"H. 40-1/4, W. 54-1/2 inches (102.2 x 138.4 cm.)",Paintings,"Gift of the artist, 1991"
Camouflaged Field in France,John Singer Sargent,American,1856,1925,1918,"Watercolor, gouache, graphite, and wax crayon on white wove paper",13 5/16 x 20 15/16 in. (33.8 x 53.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
Remembrance of an Afternoon on the Way,Rafael Ferrer,,1933,,1983,Oil on canvas,"H. 64, W. 78 inches (162.6 x 198.1 cm.)",Paintings,"George A. Hearn Fund, 1983"
Seated Model,Jules Pascin,,1885,1930,1925,Oil on canvas,39 1/2 x 32in. (100.3 x 81.3cm) 45 3/4 x 38 1/8 x 2 3/8 in. (116.2 x 96.8 x 6 cm) (Frame),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967"
Design for hanging wall-mounted lantern,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Gouache, colored pencil, and graphite on off-white tracing paper on a light weight multi-ply paper board",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 13 7/8 x 10 5/16 in. (35.2 x 26.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"Study for ""Nijinsky""",Franz Kline,American,1910,1962,1950?,"Ink and oil paint on paper, mounted to paperboard",8 1/2 x 7 in. (21.6 x 17.8 cm),Drawings,"Anonymous Gift, in memory of Barbara Butler Weisl, 2005"
Pelvis II,Georgia O'Keeffe,American,1887,1986,1944,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"George A. Hearn Fund, 1947"
"Turkish Fountain with Garden (from Louis C. Tiffany Estate, Oyster Bay)",Jane Peterson,American,1876,1965,1910?,Oil and charcoal on canvas,24 1/4 x 18 in. (61.6 x 45.7 cm),Paintings,"Gift of Caryl and Martin Horwitz, 1991"
Cloud Study; Lake [Maggiore?] and Village (from Sketchbook),Jervis McEntee,American,1828,1891,1869?,"Graphite, gouache and watercolor, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Woman Reading,Boris Grigoriev,Russian,1886,1939,1922?,Oil on canvas,21 1/4 x 25 5/8 in. (54 x 65.1cm),Paintings,"Gift of Humanities Fund Inc., 1972"
Untitled,Lois Lane,American,1948,,1978,"Oil, gesso, metallic paint, and graphite on canvas",84 x 96in. (213.4 x 243.8cm),Paintings,"Gift of Ellen Kern and Ellis Kern, 1993"
Landscape,George Inness,American,1825,1894,1884or1889,Oil on canvas,9 x 12 3/4 in. (22.9 x 31.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
"Design for ""Angel of Faith"" window",Frederick Wilson 1858-1932,,1858,1932,1896,"Watercolor, gouache, and graphite on paper [photostat?] mounted on board",Overall: 13 1/2 x 6 3/4 in. (34.3 x 17.1 cm) Design: 13 5/16 x 5 9/16 in. (33.8 x 14.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Pier 5,Jacob Glushakow,American,1914,2000,1945,Oil on Masonite,"H. 23-1/2, W. 30-1/4 inches (59.7 x 76.8 cm.)",Paintings,"Gift of Mr. and Mrs. Herbert S. Denenberg, 1991"
George Washington,Robert Field,,1769,1819,1800?,Watercolor on ivory in rose gold locket; hair reserve verso,3 1/8 x 2 7/16 in. (7.9 x 6.2 cm),Paintings,"Bequest of Charles Allen Munn, 1924"
Rainy Day in Camp,Winslow Homer,American,1836,1910,1871,Oil on canvas,20 x 36 in. (50.8 x 91.4 cm),Paintings,"Gift of Mrs. William F. Milton, 1923"
Speedboat's Wake,Milton Avery,American,1885,1965,1959,Oil on canvas,"H. 53-3/4, W. 71-1/2 inches (136.5 x 181.6 cm.)",Paintings,"Gift of Milton and Sally Avery Arts Foundation, 1989"
Old Tombstones,Arthur Dove,American,1880,1946,1935,"Watercolor, gouache, and ink on paper",5 x 7 in. (12.7 x 17.8 cm),Drawings,"Alfred Stieglitz Collection, 1949"
Autumnal Landscape,Jane Freilicher,American,1924,,1977,Oil on canvas,"H. 80, W. 70 inches (203 x 177.8 cm.)",Paintings,"Gift of Dr. and Mrs. Robert E. Carroll, 1978"
Fall in Provincetown,Houghton Cranford Smith,American,1887,1983,1913?,Oil on cardboard,"H. 10, W. 10 inches (25.4 x 25.4 cm.)",Paintings,"Purchase, George A. Hearn Fund, by exchange, 1991"
Portrait of a Gentleman,Alfred Thomas Agate,,1812,1846,1835?,Watercolor on ivory,Diam. 2 1/2 in. (6.4 cm),Paintings,"Maria DeWitt Jesup Fund, 1990"
Arrangement in Black: Girl Reading,James McNeill Whistler,American,1834,1903,1890,Oil on wood,12 x 9 in. (22.9 x 30.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Untitled,Melissa Meyer,American,1947,,1985,Oil stick on paper,"H. 30, W. 22-1/2 inches (76.2 x 57.2 cm.)",Drawings,"Purchase, Carpat Foundation Inc. Gift, 1986"
Memorial painting,Sally Miller,,,,1811,Watercolor and ink on silk,28 x 32 3/8 in. (71.1 x 82.2 cm),Textiles,"Rogers Fund, 1948"
Profound Longing,Hans Hofmann,,1880,1966,1965,Oil on canvas,"H. 50-1/8, W. 40-1/8 inches (127.3 x 101.9 cm.)",Paintings,"Gift of Renate Hofmann, 1990"
24-Apr-75,Richard Hennessy,American,1941,,1975,Oil on canvas,"H. 42, W. 38 inches (106.7 x 96.5 cm.)",Paintings,"Purchase, Joseph H. Hazen Foundation, Inc. Gift, 1975"
Standing Woman,Thomas Hovenden,,1840,1895,1882,Graphite and gouache watercolor on blue wove paper,11 3/4 x 8 1/2 in. (29.8 x 21.6 cm),Drawings,"Rogers Fund, 1962"
Portrait of a Gentleman,Benjamin Trott,,1770,1843,,Watercolor on ivory in gilded copper case; hair reserve verso,2 3/16 x 1 13/16 in. (5.6 x 4.6 cm),Paintings,"Gift of Gloria Manney, 2006"
"Torre dei Schiavi, The Roman Campagna (from Cropsey Album)",Jasper Francis Cropsey,American,1823,1900,1853,"Graphite, white gouache, and brown and gray ink washes on dark buff wove paper",4 1/8 x 5 11/16 in. (10.5 x 14.4 cm),Drawings,"Purchase, Charles and Anita Blatt Gift, 1970"
Portrait of my Mother,Philip Guston,American,1913,1980,1931,Oil on canvas,"H. 16-3/8, W. 15-5/8 inches (41.6 x 39.7 cm.)",Paintings,"Purchase, Gift of Jane and Robert Carroll and Eliot and Wilson Nolen, 1997"
The Willow Tree and the Cow,Walt Kuhn,American,1877,1949,1923,Oil on canvas,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Gift of Jane and Robert E. Carroll, 1991"
Country Store,Reginald Wilson,American,1909,1993,1939?,Gouache on paper,"H. 14-7/8, W. 20 inches (37.8 x 50.8 cm.)",Drawings,"Gift of New York City W. P. A., 1943"
"The Fable of the Miller, His Son, and the Donkey",Elihu Vedder,American,1836,1923,1868,Oil on canvas,6 1/2 x 10 3/4 in. (16.5 x 27.3 cm),Paintings,"Gift of John V. and Enza Tomassi Kiskis, 1992"
"Fortune: A Study for ""The Discoverer""",William Morris Hunt,American,1824,1879,1878,Oil on paper,37 x 25 1/2 in. (94 x 64.1 cm),Paintings,"Rogers Fund, 1911"
The Last Parade,Joyce Treiman,American,1922,1991,1987,Oil on canvas,"H. 70, W. 70 inches (177.8 x 177.8 cm.)",Paintings,"Anonymous Gift, 1989"
The Visitation,Salle Werner Vaughn,American,1939,,1981,Oil on canvas,"H. 19-3/4, W. 20-1/4 inches (50.2 x 51.4 cm.)",Paintings,"Gift of the artist, in loving memory of Helen Serger, 1990"
Self-Portrait,Robert De Niro,American,1922,1993,1951,Oil on canvas,"H. 35-1/8, W. 30 inches (89.2 x 76.2 cm.)",Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Adventure,Arthur B. Davies,American,1862,1928,1918,Oil on canvas,18 1/8 x 30 1/8 in. (46 x 76.5 cm),Paintings,"Bequest of Lillie P. Bliss, 1931"
Outline Sketch of Mountains (from Sketchbook),Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982"
Self-portrait,James Peale,American,1749,1831,1789,Watercolor on ivory,1 3/4 x 1 1/4 in. (4.4 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006"
Untitled,Jackson Pollock,American,1912,1956,1947?,"Gouache, watercolor, colored and watercolor pencils, and ink on paper","H. 14, W. 18-5/8 inches (35.6 x 47.3 cm.)",Drawings,"Gift of Lee Krasner Pollock, 1982"
"Number 28, 1950",Jackson Pollock,American,1912,1956,1950,Enamel on canvas,68 1/8 x 105 in. (173 x 266.7 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her grandchildren, Ellen Steinberg Coven and Dr. Peter Steinberg, 2006"
"Grey Tree, Lake George",Georgia O'Keeffe,American,1887,1986,1925,Oil on canvas,36 x 30in. (91.4 x 76.2cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986"
A Bit of War History: The Recruit,Thomas Waterman Wood,American,1823,1903,1866,Oil on canvas,28 1/4 x 20 1/4 in. (71.8 x 51.4 cm) (framed with 84.12a and 84.12c),Paintings,"Gift of Charles Stewart Smith, 1884"
Men and Machine,Stuart Davis,American,1892,1964,1934,Oil on canvas,"H. 32, W. 40 inches (81.3 x 101.6 cm.)",Paintings,"Gift of Mr. and Mrs. Jay R. Braus, 1981"
Hagar and Ishmael,Benjamin West,American,1738,1820,"1776,reworked1803",Oil on canvas,76 x 54 1/2 in. (193 x 138.4 cm),Paintings,"Maria DeWitt Jesup Fund, 1923"
Gabriel,Franklin Watkins,American,1894,1972,1935?,Oil on canvas,"H. 36, W. 40 inches (91.4 x 101.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
"Low Tide, Riverside Yacht Club",Theodore Robinson,,1852,1896,1894,Oil on canvas,18 x 24 in. (45.7 x 61 cm),Paintings,"Gift of Margaret and Raymond J. Horowitz, 2007"
Seascape,Joseph De Martini,American,1896,1984,1939,Gouache on paper,"H. 15, W. 19-1/2 inches (38.1 x 49.5 cm.)",Drawings,"Gift of New York City W. P. A., 1943"
Camp Fire,Winslow Homer,American,1836,1910,1880,Oil on canvas,23 3/4 x 38 1/8 in. (60.3 x 96.8 cm),Paintings,"Gift of Josephine Pomeroy Hendrick, in the name of Henry Keney Pomeroy, 1927"
"Clam Diggers, Provincetown",Karl Knaths,American,1891,1971,1949,Oil on canvas,"H. 40-1/8, W. 30-1/4 inches (101.9 x 76.9 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
Shipwreck off Nantucket (Wreck off Nantucket after a Storm),William Bradford,American,1823,1892,1861,Oil on canvas,40 x 64 in. (101.6 x 162.6 cm),Paintings,"Purchase, John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, Fosburgh Fund Inc. Gift, and Maria DeWitt Jesup Fund, 1971"
Archetypal Painting for A.G.,Julian Schnabel,American,1951,,1976,Acrylic and modeling paste on canvas,"H. 68, W. 64-1/4 inches (172.7 x 162.6 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1988"
Mrs. Annie C. Hyde,John Wood Dodge,,1807,1893,1863,Watercolor on ivory,3 9/16 x 2 7/8 in. (9.2 x 7.3 cm),Paintings,"Gift of Gloria Manney, 2006"
Patriot,Harry Kramer,American,1939,,1991,Oil on canvas,"H. 72, W. 90 inches (182.9 x 228.6 cm.)",Paintings,"Purchase, Jan S. Cowles Gift, 1991"
Celia,John Graham,,1881,1961,1944?,"Oil, casein, charcoal, chalk, graphite, and ink on Masonite",48 x 36 in. (121.9 x 91.4 cm),Paintings,"Hugo Kastor Fund, 1968"
Red and Brown Scene,Helen Frankenthaler,American,1928,2011,1961,Oil on canvas board,"H. 19-3/4, W. 29-7/8 inches (50.2 x 75.9 cm.)",Paintings,"The Florence and Joseph Singer Collection Gift of Florence and Joseph Singer, 1966"
Portrait of a Gentleman,James Peale,American,1749,1831,1799,Watercolor on ivory in gilded copper locket; hair reserve verso,2 3/4 x 2 1/4 in. (7 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006"
The Beginning of Autumn (Monument Mountain near Stockbridge)(from McGuire Scrapbook),James Henry Moser,,1854,1913,1900,Gouache on blue wove paper mounted on off-white Bristol board,1 5/16 x 3 5/16 in. (3.3 x 8.4 cm),Drawings,"Gift of James C. McGuire, 1926"
Deco Tango,Red Grooms,American,1937,,1996,Oil on aluminum,"H. 23, W. 20-1/8, D. 8 inches (58.4 x 51.1 x 20.3 cm)",Sculpture,"Purchase, Mrs. Derald Ruttenberg Gift, 1999"
Design for ceiling fixture,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Gouache, colored pencil, and graphite on off-white tracing paper with vertical grain direction, on wove paper-faced and backed artist board",Overall: 20 1/16 x 14 1/16 in. (51 x 35.7 cm) Other (Design): 9 3/8 x 6 11/16 in. (23.8 x 17 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
The Prisoner Song,Terry Allen,American,1943,,1984,"Graphite and colored pencil on paper, oil, lead strips, gum, Plexiglas, nails, graphites, feather, and hair on lead sheet","H. 46-1/2, W. 46-1/2 inches (118.1 x 118.1 cm.)",Paintings,"Purchase, Clarence Y. Palitz Jr. Gift and various donors, 1987"
Crossing Move,James McGarrell,American,1930,,1982,Oil on canvas,"H. 78, W. 59 inches (198.1 x 149.9 cm.)",Paintings,"Kathryn E. Hurd Fund, 1984"
The Battle,Conrad Marca-Relli,American,1913,2000,1956,"Oil cloth, tinted canvas, enamel paint, and oil on canvas","H. 70-1/2, W. 130-1/2 inches (179.1 x 331.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1956"
Water,Charles Sheeler,American,1883,1965,1945,Oil on canvas,"H. 24, W. 29-1/8 inches (61 x 74 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1949"
Horseneck Falls,John Henry Twachtman,American,1853,1902,1900,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Mountains,Arthur B. Davies,American,1862,1928,,"Watercolor, gouache, and charcoal on light tan laid paper",10 1/4 x 14 7/8 in. (26 x 37.8 cm),Drawings,"Bequest of Lillie P. Bliss, 1931"
Tea water pump,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/16 x 9 5/16 in. (15.4 x 23.7 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
There is a River,Ad璋﹏ Hern璋﹏dez,American,1951,,1991,Oil on canvas,"H. 36, W. 49-1/2 inches (91.4 x 125.7 cm.)",Paintings,"Purchase, George A. Hearn Fund, by exchange, 1991"
Horse and Buggy,Reginald Wilson,American,1909,1993,,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of New York City W. P. A., 1943"
The Trumpet Vine,Fairfield Porter,American,1907,1975,1958,Oil on canvas,"H. 28, W. 20 inches (71.1 x 50.8 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
Calm Morning,Fairfield Porter,American,1907,1975,1961,Oil on canvas,"H. 35-7/8, W. 36 inches (91.1 x 91.4 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
"Desert Mountain, New Mexico",Houghton Cranford Smith,American,1887,1983,1920?,Oil on canvas,"H. 8, W. 10 inches (20.3 x 25.4 cm.)",Paintings,"Purchase, George A. Hearn Fund, by exchange, 1991"
The Music Lesson,John George Brown,,1831,1913,1870,Oil on canvas,24 x 20 in. (61 x 50.8 cm),Paintings,"Gift of Colonel Charles A. Fowler, 1921"
"Letter to Robert Lewis Isaacson 1st page, discussing Combat (1936)",Stanley William Hayter,,1901,1988,1941,Ink,,Miscellaneous,"Gift of Robert L. Isaacson, 1983"
"Morning Frock for Autumn (Fashion Design for ""The Tatler,"" August 21st, 1929)",Gordon Conway,American,1894,1956,,"Graphite, ink, watercolor, and gouache on paper",12 1/4 x 10 5/8 in. (31.1 x 27 cm),Drawings,"Gift of Mr. and Mrs. Marshall E. Allen, 1971"
Portrait of a Young Girl,Mary Cassatt,American,1844,1926,1899,Oil on canvas,29 x 24 1/8 in. (73.7 x 61.3 cm),Paintings,"From the Collection of James Stillman, Gift of Dr. Ernest G. Stillman, 1922"
Studies of a Dead Bird,John Singer Sargent,American,1856,1925,1878,Oil on canvas,20 x 15 in. (50.8 x 38.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
Hiawatha's Friends,Frederic Remington,American,1861,1909,1889,Oil on canvas,20 x 28 1/4 in. (50.8 x 71.8 cm),Paintings,"Anonymous Gift, 1962"
Madonna of Giverny,Frederick William MacMonnies,American,1863,1937,1901,Oil on canvas,45 3/4 x 45 3/8 in. (115.1 x 114.7 cm),Paintings,"Gift of Ira Spanierman, 1983"
Almost Silence,Jimmy Ernst,American,1920,1984,1952,Oil on canvas,"H. 44, W. 48 inches (111.8 x 121.9 cm.)",Paintings,"Purchase, Roy R. and Marie S. Neuberger Foundation Inc. Gift, 1953"
Louvre閳ユ摐utumn Afternoon,Arthur B. Davies,American,1862,1928,1925,"Watercolor, gouache, graphite, and blue pastel on light gray paper",9 1/4 x 12 9/16 in. (23.5 x 31.9 cm),Drawings,"Bequest of Lillie P. Bliss, 1931"
Still Life with Fish,Alfred Maurer,American,1868,1932,1928,Oil on canvas,"H. 18, W. 21-1/2 inches (45.8 x 54.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund,1955"
Henry Nicolls Kitchin,James Peale,American,1749,1831,1807,Watercolor on ivory in gilded copper foliate locket,2 13/16 x 2 1/4 in. (7.1 x 5.8 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006"
Black Jack (Two Jacks),Larry Rivers,American,1923,2002,1989,"Colored pencil, graphite, and oil on cloth lined paper","H. 29-1/4, W. 23-1/4 inches (74.3 x 59.1 cm.)",Drawings,"Gift of Mr. and Mrs. Jeffrey Loria, 1992"
Something about Something,Raymond Saunders,American,1934,,1963,Oil and charcoal on canvas,"H. 65-1/8, W. 38 inches (165.4 x 96.5 cm.)",Paintings,"Purchase, Hugo Kastor Fund, by exchange, 1994"
Awaiting,Herbert Gentry,American,1919,2003,1971,Gouache on paper,"H. 25-1/2, W. 19-3/4 inches (64.8 x 50.2 cm.)",Drawings,"Gift of Mrs. Betsy Babcock, 1972"
In the House of Matthew,Augustus Vincent Tack,American,1870,1949,1909?,Oil on canvas,36 x 36 in. (91.4 x 91.4 cm),Paintings,"Gift of Phillips Memorial Gallery, 1922"
Lake Squam from Red Hill,William Trost Richards,American,1833,1905,1874,"Watercolor, gouache, and graphite on light gray-green wove paper",8 7/8 x 13 9/16 in. (22.5 x 34.4 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880"
The Hunter,Fritz Bultman,American,1919,1985,1949,Enamel and oil on celotex,"H. 59-3/4, W. 48-1/8 inches (151.8 x 122.2 cm.)",Paintings,"Kathryn E. Hurd Fund, 1994"
Chimney Sweeps,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/16 x 9 5/16 in. (15.4 x 23.7 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Penny Candy Vendors,Loren MacIver,American,1909,1998,1940,Oil on canvas,"H. 21, W. 29 inches (53.3 x 73.7 cm.)",Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993"
The Tent on the Beach,Binding designed by Margaret Neilson Armstrong,American,1867,1944,1899,illustrations: photogravure reproductions of paintings,7 9/16 x 5 1/16 x 11/16 in. (19.2 x 12.8 x 1.8 cm),Books,"Gift of Constance C. McPhee, 2012"
Mother and Son,Thomas Sully,American,1783,1872,1840,Oil on canvas,57 x 45 3/8 in. (144.8 x 115.3 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914"
The Mathematician,Bernard Childs,American,1910,1985,1959,Oil on canvas,32 1/8 x 26 1/8 in. (81.6 x 66.4 cm),Paintings,"Gift of Judith Childs, 2000"
Cape Ann,Leon Kroll,American,1884,1974,1935,Oil on canvas,"H. 30, W. 48 inches (76.8 x 121.9 cm.)",Paintings,"George A. Hearn Fund, 1935"
Mrs. Francis Brinley and Her Son Francis,John Smibert,,1688,1751,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),Paintings,"Rogers Fund, 1962"
Fishermen,George Luks,American,1866,1933,1920?,Oil on wood,12 3/4 x 16 in. (32.4 x 40.6 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876 ?967), 1967"
Two Attentions,Tom Lieber,American,1949,,1983,Acrylic on canvas,"H. 72, W. 96 inches (182.9 x 243.8 cm.)",Paintings,"Edith C. Blum Fund, 1983"
Red on Cream,Sean Scully,American,1945,,1976,Oil and acrylic on canvas,"H. 68-1/4, W. 72-1/8 inches (173.4 x 183.2 cm)",Paintings,"Gift of Susan Kasen Summer and Robert D. Summer, 1998"
Robert Stuart,Robert Field,,1769,1819,1804,Watercolor on ivory in gold locket with embossed metal foil under a cobalt blue rim; hair reserve verso,2 7/8 x 2 5/16 in. (7.3 x 5.9 cm),Paintings,"Fletcher Fund, 1939"
Mountain Lake Scene,John William Casilear,American,1811,1893,1883,Oil on canvas,12 1/8 x 20 1/16 in. (30.8 x 51 cm),Paintings,"Jointly owned by The Metropolitan Museum of Art and Wendell S. Arrington, in honor of his parents, Joseph Earl Arrington and Genevieve T. Arrington, 1979"
Chuan-Chi,Lily Cushing,American,1909,1968,1960,Oil on paper mounted on board,"H. 20-1/8, W. 28 inches (51.1 x 71.1 cm.)",Drawings,"Hugo Kastor Fund, 1962"
Egyptian Revival Triptych,Attributed to Samuel Colman,American,1832,1920,1885?,"Oil on canvas, ebony stained pine, gold leaf, velvet",31 3/8 x 40 in. (79.7 x 55.2 cm),Paintings,"Gift of Noah L. Butkin, 1978"
John David Wolfe,Daniel Huntington,American,1816,1906,1871,Oil on canvas,43 1/4 x 37 3/8 in. (109.9 x 94.9 cm),Paintings,"Bequest of Catharine Lorillard Wolfe, 1887"
All the King's Men,Susan Crile,American,1942,,1987,Oil on paper,"H. 22-1/4, W. 29-7/8 inches (56.5 x 75.9 cm.)",Drawings,"Gift of Lillian L. Poses, 1988"
Shirt with Butterfly,Joe Brainard,American,1942,1994,1976,"Cut and pasted papers, gouache, and graphite on paper","H. 5, W. 3-1/4 inches (12.7 x 8.3 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997"
