artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Seascape,Joseph De Martini,American,1896,1984,1938,1939,Gouache on paper,"H. 15, W. 19-1/2 inches (38.1 x 49.5 cm.)",Drawings,"Gift of New York City W. P. A., 1943",368cb3d888bb
Camp Fire,Winslow Homer,American,1836,1910,1880,1880,Oil on canvas,23 3/4 x 38 1/8 in. (60.3 x 96.8 cm),Paintings,"Gift of Josephine Pomeroy Hendrick, in the name of Henry Keney Pomeroy, 1927",dc1e15e3e782
"Clam Diggers, Provincetown",Karl Knaths,American,1891,1971,1949,1949,Oil on canvas,"H. 40-1/8, W. 30-1/4 inches (101.9 x 76.9 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",01a3dd246778
Shipwreck off Nantucket (Wreck off Nantucket after a Storm),William Bradford,American,1823,1892,1860,1861,Oil on canvas,40 x 64 in. (101.6 x 162.6 cm),Paintings,"Purchase, John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, Fosburgh Fund Inc. Gift, and Maria DeWitt Jesup Fund, 1971",445b06fc46f1
Red and Brown Scene,Helen Frankenthaler,American,1928,2011,1961,1961,Oil on canvas board,"H. 19-3/4, W. 29-7/8 inches (50.2 x 75.9 cm.)",Paintings,"The Florence and Joseph Singer Collection Gift of Florence and Joseph Singer, 1966",9b4e49dc9d43
Portrait of a Gentleman,James Peale,American,1749,1831,1799,1799,Watercolor on ivory in gilded copper locket; hair reserve verso,2 3/4 x 2 1/4 in. (7 x 5.8 cm),Paintings,"Gift of Gloria Manney, 2006",78ad213ca1b0
Design for ceiling fixture,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Gouache, colored pencil, and graphite on off-white tracing paper with vertical grain direction, on wove paper-faced and backed artist board",Overall: 20 1/16 x 14 1/16 in. (51 x 35.7 cm) Other (Design): 9 3/8 x 6 11/16 in. (23.8 x 17 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",31d574926b76
The Battle,Conrad Marca-Relli,American,1913,2000,1956,1956,"Oil cloth, tinted canvas, enamel paint, and oil on canvas","H. 70-1/2, W. 130-1/2 inches (179.1 x 331.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1956",810e97e18f34
Water,Charles Sheeler,American,1883,1965,1945,1945,Oil on canvas,"H. 24, W. 29-1/8 inches (61 x 74 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1949",cb532cec8b0a
Horseneck Falls,John Henry Twachtman,American,1853,1902,1889,1900,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",c9d94d5638fe
Tea water pump,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/16 x 9 5/16 in. (15.4 x 23.7 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",e2620428f774
The Trumpet Vine,Fairfield Porter,American,1907,1975,1958,1958,Oil on canvas,"H. 28, W. 20 inches (71.1 x 50.8 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",a082a6f3cdc0
Calm Morning,Fairfield Porter,American,1907,1975,1961,1961,Oil on canvas,"H. 35-7/8, W. 36 inches (91.1 x 91.4 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",943429fbe663
"Desert Mountain, New Mexico",Houghton Cranford Smith,American,1887,1983,1920,1920,Oil on canvas,"H. 8, W. 10 inches (20.3 x 25.4 cm.)",Paintings,1991,a0bba6e77a59
Portrait of a Young Girl,Mary Cassatt,American,1844,1926,1899,1899,Oil on canvas,29 x 24 1/8 in. (73.7 x 61.3 cm),Paintings,"From the Collection of James Stillman, Gift of Dr. Ernest G. Stillman, 1922",73a574a62275
Studies of a Dead Bird,John Singer Sargent,American,1856,1925,1878,1878,Oil on canvas,20 x 15 in. (50.8 x 38.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",622211b03f21
Hiawatha's Friends,Frederic Remington,American,1861,1909,1889,1889,Oil on canvas,20 x 28 1/4 in. (50.8 x 71.8 cm),Paintings,"Anonymous Gift, 1962",fae6fd2e85ec
Madonna of Giverny,Frederick William MacMonnies,American,1863,1937,1901,1901,Oil on canvas,45 3/4 x 45 3/8 in. (115.1 x 114.7 cm),Paintings,"Gift of Ira Spanierman, 1983",ee4a42fdff43
Almost Silence,Jimmy Ernst,American,1920,1984,1952,1952,Oil on canvas,"H. 44, W. 48 inches (111.8 x 121.9 cm.)",Paintings,"Purchase, Roy R. and Marie S. Neuberger Foundation Inc. Gift, 1953",ff099989a69f
Louvre鈥擜utumn Afternoon,Arthur B. Davies,American,1862,1928,1925,1925,"Watercolor, gouache, graphite, and blue pastel on light gray paper",9 1/4 x 12 9/16 in. (23.5 x 31.9 cm),Drawings,"Bequest of Lillie P. Bliss, 1931",a4e68ddd6e50
Still Life with Fish,Alfred Maurer,American,1868,1932,1927,1928,Oil on canvas,"H. 18, W. 21-1/2 inches (45.8 x 54.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund,1955",9d1ea6a516aa
Henry Nicolls Kitchin,James Peale,American,1749,1831,1807,1807,Watercolor on ivory in gilded copper foliate locket,2 13/16 x 2 1/4 in. (7.1 x 5.8 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",f080e4efba49
Black Jack (Two Jacks),Larry Rivers,American,1923,2002,1989,1989,"Colored pencil, graphite, and oil on cloth lined paper","H. 29-1/4, W. 23-1/4 inches (74.3 x 59.1 cm.)",Drawings,"Gift of Mr. and Mrs. Jeffrey Loria, 1992",02789fc3f0d1
Awaiting,Herbert Gentry,American,1919,2003,1971,1971,Gouache on paper,"H. 25-1/2, W. 19-3/4 inches (64.8 x 50.2 cm.)",Drawings,"Gift of Mrs. Betsy Babcock, 1972",1c1834c0f58e
In the House of Matthew,Augustus Vincent Tack,American,1870,1949,1909,1909,Oil on canvas,36 x 36 in. (91.4 x 91.4 cm),Paintings,"Gift of Phillips Memorial Gallery, 1922",0af7721e1e06
Lake Squam from Red Hill,William Trost Richards,American,1833,1905,1874,1874,"Watercolor, gouache, and graphite on light gray-green wove paper",8 7/8 x 13 9/16 in. (22.5 x 34.4 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",510c8639f1a4
The Hunter,Fritz Bultman,American,1919,1985,1949,1949,Enamel and oil on celotex,"H. 59-3/4, W. 48-1/8 inches (151.8 x 122.2 cm.)",Paintings,"Kathryn E. Hurd Fund, 1994",163f3cba333c
Chimney Sweeps,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/16 x 9 5/16 in. (15.4 x 23.7 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",11b055002334
Penny Candy Vendors,Loren MacIver,American,1909,1998,1940,1940,Oil on canvas,"H. 21, W. 29 inches (53.3 x 73.7 cm.)",Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993",0201e49a4623
The Tent on the Beach,rong,American,1867,1944,1899,1899,illustrations: photogravure reproductions of paintings,7 9/16 x 5 1/16 x 11/16 in. (19.2 x 12.8 x 1.8 cm),Books,"Gift of Constance C. McPhee, 2012",0b9559b9ba38
Mother and Son,Thomas Sully,American,1783,1872,1840,1840,Oil on canvas,57 x 45 3/8 in. (144.8 x 115.3 cm),Paintings,"Bequest of Francis T. Sully Darley, 1914",9bdc1dd7f732
The Mathematician,Bernard Childs,American,1910,1985,1959,1959,Oil on canvas,32 1/8 x 26 1/8 in. (81.6 x 66.4 cm),Paintings,"Gift of Judith Childs, 2000",20fc7cbadc44
Cape Ann,Leon Kroll,American,1884,1974,1934,1935,Oil on canvas,"H. 30, W. 48 inches (76.8 x 121.9 cm.)",Paintings,"George A. Hearn Fund, 1935",cee49f74dd9d
Fishermen,George Luks,American,1866,1933,1920,1920,Oil on wood,12 3/4 x 16 in. (32.4 x 40.6 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",3ee669352c2b
Mountain Lake Scene,John William Casilear,American,1811,1893,1883,1883,Oil on canvas,12 1/8 x 20 1/16 in. (30.8 x 51 cm),Paintings,1979,9c40030b64bf
Chuan-Chi,Lily Cushing,American,1909,1968,1960,1960,Oil on paper mounted on board,"H. 20-1/8, W. 28 inches (51.1 x 71.1 cm.)",Drawings,"Hugo Kastor Fund, 1962",684b7946181b
Egyptian Revival Triptych,Attributed to Samuel Colman,American,1832,1920,1885,1885,"Oil on canvas, ebony stained pine, gold leaf, velvet",31 3/8 x 40 in. (79.7 x 55.2 cm),Paintings,"Gift of Noah L. Butkin, 1978",52cbc54c0077
John David Wolfe,Daniel Huntington,American,1816,1906,1871,1871,Oil on canvas,43 1/4 x 37 3/8 in. (109.9 x 94.9 cm),Paintings,"Bequest of Catharine Lorillard Wolfe, 1887",c2edbd36e308
Shirt with Butterfly,Joe Brainard,American,1942,1994,1974,1976,"Cut and pasted papers, gouache, and graphite on paper","H. 5, W. 3-1/4 inches (12.7 x 8.3 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",f3080b995edf
"Study for ""Wisconsin Landscape""",John Steuart Curry,American,1897,1946,1938,1938,Oil on canvas,"H. 32, W. 42 inches (81.3 x 106.7 cm.)",Paintings,"Gift of Mrs. John Steuart Curry, 1997",27a8a3f9c3a4
The African Sentinel,Elihu Vedder,American,1836,1923,1865,1865,Oil on canvas,14 1/4 x 8 9/16 in. (36.2 x 21.8 cm),Paintings,"Bequest of Stephen Whitney Phoenix, 1881",2b80a9e219db
Struggle Series - No. 10: Washington Crossing the Delaware,Jacob Lawrence,American,1917,2000,1954,1954,Egg tempera on hardboard,12 x 16 in. (30.5 x 40.6 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2003",68e0b7829807
Mrs. John Murray,John Trumbull,American,1756,1843,1806,1806,Oil on canvas,30 x 24 in. (76.2 x 61 cm),Paintings,"Morris K. Jesup Fund, 1922",03b868372467
Grape Wine,Andrew Wyeth,American,1917,2009,1966,1966,Tempera on wood,"H. 25-7/8, W. 29-1/8 inches (65.7 x 74 cm.)",Paintings,"Gift of Amanda K. Berls, 1967",821dbeed2eb7
The Spanish Girl in Reverie,Washington Allston,American,1779,1843,1831,1831,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Lyman G. Bloomingdale, 1901",4a827b4a8dbc
Moorish Buildings in Sunlight,John Singer Sargent,American,1856,1925,1879,1880,Oil on wood,10 1/4 x 13 7/8 in. (26 x 35.2 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",c61559535195
Seated Figure,Larry Rivers,American,1923,2002,1960,1960,Oil on canvas,"H. 20, W. 16 inches (50.8 x 40.6 cm.)",Paintings,"Gift of Dr. Joseph I. Singer, 1968",453efcdf2a7d
Charles Lee or Gentleman of the Lee Family,Gilbert Stuart,American,1755,1828,1794,1803,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Bequest of Charles Allen Munn, 1924",fe6ca280f59d
"From the Flume House, Franconia, New Hampshire",William Trost Richards,American,1833,1905,1872,1872,"Watercolor, gouache, and graphite on tan wove paper",8 1/4 x 14 3/16 in. (21 x 36 cm),Drawings,"Gift of The Reverend E. L. Magoon, D.D., 1880",5d1e59675908
In the Woods,Asher Brown Durand,American,1796,1886,1855,1855,Oil on canvas,60 3/4 x 48 in. (154.3 x 121.9 cm),Paintings,1895,93d6fede169e
"Design for ceiling of Hershey Theater, Hershey Pennsylvania",Louis Comfort Tiffany,American,1848,1933,1915,1915,"Watercolor, gouache, aluminum paint and bronze powder metallic ink on artist board with original shaped window mat",Overall: 32 5/8 x 25 7/16 in. (82.9 x 64.6 cm) Design: 25 1/16 x 23 3/4 in. (63.7 x 60.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",723e5a65260d
Hillside Pastures鈥擲eptember,Willard Metcalf,American,1858,1925,1922,1922,Oil on canvas,26 x 28 7/8 in. (66 x 73.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",3057022834ca
Lida Moser,Alice Neel,American,1900,1984,1963,1963,Oil on canvas,"H. 27, W. 20 inches (68.8 x 50.8 cm.)",Paintings,"Gift of Dr. Joel Curtis, 1986",5ff0dcef180c
The Sorcerer's Apprentice (Mickey Mouse),Walt Disney,American,1901,1966,1940,1940,Painting on celluloid,sheet: 11 1/4 x 14 3/4 in. (28.6 x 37.5 cm),Drawings,"Gift of Bella C. Landauer, 1925",d4d919b7c62b
Exaltation,Arthur B. Davies,American,1862,1928,1920,1930,Oil on canvas,16 x 11 in. (40.6 x 27.9 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",7e876c60d98a
"Paradise Rocks鈥擲tudy at Paradise, Newport, Rhode Island",John La Farge,American,1835,1910,1884,1884,"Watercolor, gouache and gum arabic on white wove paper",8 x 9 3/8 in. (20.3 x 23.8 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",d3937ed545d6
The Young Fisherman,Henry Inman,American,1801,1846,1829,1829,Oil on wood,13 1/4 x 9 5/8 in. (33.7 x 24.4 cm),Paintings,"Gift of Samuel P. Avery, 1895",37b52013ca3c
John Shaw,Gilbert Stuart,American,1755,1828,1793,1793,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),Paintings,"Gift of Mr. and Mrs. Alfred Grima Johnson, 2005",dd82e01325f9
The Wages of War,Henry Peters Gray,American,1819,1877,1848,1848,Oil on canvas,48 1/4 x 76 1/4 in. (122.6 x 193.7 cm),Paintings,"Gift of Several Ladies and Gentlemen, 1873",4c42043c0dbc
The Letter (Marguerite Zorach),George Biddle,American,1885,1973,1934,1934,Oil on canvas,"H. 32, W. 26 inches (81.3 x 66 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1937",5f23024c3024
April,Loren MacIver,American,1909,1998,1960,1960,Oil on canvas,"H. 56-1/4, W. 78-1/4 inches (142.9 x 198.8 cm.)",Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993",c8a076928e32
Blue and Gold,Allen Tucker,American,1866,1939,1919,1919,Oil on canvas,20 1/16 x 24 in. (51 x 61 cm),Paintings,"Gift of Mrs. John S. Sheppard, 1921",71f22dc23f93
Gathering Storm on Long Island Sound,John Frederick Kensett,American,1816,1872,1872,1872,Oil on canvas,34 1/4 x 27 1/4 in. (87.6 x 69.2 cm),Paintings,"Gift of Thomas Kensett, 1874",02f78e5b5faa
Willows and Farm Buildings,James Ormsbee Chapin,American,1887,1975,1924,1924,Oil on canvas,11 3/4 x 18in. (29.8 x 45.7cm),Paintings,"Bequest of Scofield Thayer, 1982",c0f99617fb29
Lake George,John Frederick Kensett,American,1816,1872,1869,1869,Oil on canvas,44 1/8 x 66 3/8 in. (112.1 x 168.6 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",0d2a72ed163b
"Water Street, Newburgh",C. K. Chatterton,American,1880,1973,1917,1917,Oil on canvas,"H. 24, W. 30 inches (61 x 76.2 cm.)",Paintings,"Gift of Mrs. John M. Van de Water, 1982",8dde98004724
Pastorale,Karl Zerbe,American,1903,1972,1948,1948,"Casein tempera and wax on Chinese paper, mounted on Masonite","H. 14-1/4, W. 20-1/8 inches (36.2 x 51.1 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",89cba7d8cded
The Delaware Valley,George Inness,American,1825,1894,1863,1863,Oil on canvas,22 1/4 x 30 3/8 in. (56.5 x 77.2 cm),Paintings,"Gift of Several Gentlemen, 1899",d73077493205
Gorham L. Freeman,Henry Williams,American,1787,1830,1813,1813,Watercolor on ivory in gold-colored metal locket; hair reserve verso,3 1/8 x 2 9/16 in. (7.9 x 6.7 cm),Paintings,"The Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse, 1950",b1504409a1d8
Design for memorial chancel,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, gold paint, graphite, brown ink, brown wash, and black ink",Dimensions unrecorded,Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",7b8c1237eec4
The Kiss of Judas,Stephen Greene,American,1917,1999,1951,1951,Oil on canvas,"H. 63-3/4, W. 40 inches (161.9 x 101.6 cm.)",Paintings,"Gift of Mr. and Mrs. Emile Gordon Stoloff, 1963",4fde5da47eda
James DeLancey,Gilbert Stuart,American,1755,1828,1785,1785,Oil on canvas,Sight size: 30 x 24 in. (76.2 x 61 cm) Framed: 40 x 35 x 2 3/8 in. (101.6 x 88.9 x 6 cm),Paintings,"Bequest of George D. Harris Jr., 2008",223956a2cb6a
The Lafayette,John Sloan,American,1871,1951,1927,1927,Oil on canvas,30 1/2 x 36 1/8 in. (77.5 x 91.8 cm),Paintings,"Gift of The Friends of John Sloan, 1928",55e14b18a383
A Spanish Madonna,John Singer Sargent,American,1856,1925,1879,1880,Oil on wood,13 3/4 x 10 1/4 in. (34.9 x 26 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",4882b717fc47
On the Hudson,Thomas Doughty,American,1793,1856,1830,1835,Oil on canvas,14 3/4 x 21 1/2 in. (37.5 x 54.6 cm),Paintings,"Gift of Samuel P. Avery, 1891",a5ed43159873
Street in Gloucester,Alfred Levitt,American,1894,2000,1945,1945,"Watercolor, gouache, and ink on paper","H. 12-3/8, W. 15-7/8 inches (31.4 x 40.3 cm.)",Drawings,"Gift of the artist, 1985",9cf2b996c6a9
Cyrus W. Field,Daniel Huntington,American,1816,1906,1879,1879,Oil on canvas,29 1/2 x 24 1/2 in. (74.9 x 62.2 cm),Paintings,"Gift of Cyrus W. Field, 1892",57d2734d9bef
Old Manor of Criqueboeuf,Homer Dodge Martin,American,1836,1897,1882,1892,Oil on canvas,25 1/4 x 37 1/2 in. (64.1 x 95.3 cm),Paintings,"Bequest of Daniel M. Stimson, 1922",1ce8033f8adf
The Song of Orpheus,Barnett Newman,American,1905,1970,1944,1945,Oil pastel on paper,"H. 20, W. 14-7/8 inches (50.8 x 37.8 cm.)",Drawings,"Gift of Annalee Newman, 1992",137038ad846d
A Bit of War History: The Contraband,Thomas Waterman Wood,American,1823,1903,1865,1865,Oil on canvas,28 1/4 x 20 1/4 in. (71.8 x 51.4 cm) (framed with 84.12b and 84.12c),Paintings,"Gift of Charles Stewart Smith, 1884",923c1459e18a
Maine Coast,Fairfield Porter,American,1907,1975,1958,1958,Oil on canvas,"H. 18, W. 34 inches (86.4 x 45.7 cm.)",Paintings,"Gift of Stanley Posthorn, 1986",3e7fa9b98fe9
Mrs. Stephen Van Rensselaer III (Cornelia Paterson),Robert Fulton,American,1765,1815,1810,1810,Watercolor on ivory,Sight: 3 1/8 x 2 1/2 in. (7.9 x 6.4 cm),Paintings,"Bequest of Cornelia Cruger, 1923",edfea9df2f47
Studio Corner,Gregory Gillespie,American,1936,2000,1983,1986,"Oil, alkyd, acrylic, graphite, paper, and wood on wood","H. 96, W. 96-1/4 inches (243.8 x 244.5 cm.)",Paintings,"Anonymous Gift, 1986",ec282d9f5f56
"From Paradise to Purgatory, Newport",William Trost Richards,American,1833,1905,1878,1878,"Watercolor, gouache, and graphite on off-white wove paper",10 x 14 3/8 in. (25.4 x 36.5 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",fc98a80c07d1
Henry G. Marquand,John Singer Sargent,American,1856,1925,1897,1897,Oil on canvas,52 x 41 3/4 in. (132.1 x 106 cm),Paintings,"Gift of the Trustees, 1897",3beb99c9a9a8
Take Off,Helen Frankenthaler,American,1928,2011,1956,1956,Oil and enamel on canvas,54 3/4 x 25 in. (139.1 x 63.5 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",7adb84df2f4e
Samuel Mifflin,Charles Willson Peale,American,1741,1827,1777,1780,Oil on canvas,49 7/8 x 39 3/4 in. (126.4 x 101 cm),Paintings,"Egleston Fund, 1922",8257956e16bf
"Matin茅e Crowd, Manhattan",Everett Shinn,American,1876,1953,1904,1904,Pastel and gouache on illustration board,18 1/4 x 11 in. (46.4 x 27.9 cm),Drawings,"Gift of A. E. Gallatin, 1923",13a48dcf7c99
"Daniel Strobel, Jr.",John Vanderlyn,American,1775,1852,1799,1799,"Probably Cont?crayon, black chalk, and white gouache on off-white wove paper",8 3/8 x 6 3/8 in. (21.3 x 16.2 cm),Drawings,"Bequest of Ella Church Strobell, 1917",36f7581030a6
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Grisaille heightened with white gouache, graphite, pen and ink on paper mounted on board in original double matt",Overall: 16 7/16 x 9 13/16 in. (41.8 x 24.9 cm) Other (Design): 7 x 1 11/16 in. (17.8 x 4.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",6017cce3d09e
Watson and the Shark,After John Singleton Copley,American,1738,1815,1778,1778,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),Paintings,"Gift of Mrs. Gordon Dexter, 1942",ace12494ac7d
It's Raining,Norman Bluhm,American,1920,1999,1960,1960,Gouache and ink on paper,"H. 48, W. 40 inches (121.9 x 101.6 cm.)",Drawings,"Gift of Mr. and Mrs. Norman Bluhm, 1984",2fc468921a4b
Drawing of a figure of Christ,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,Gouache and graphite on artist board in original window matt with gold metallic finish.,Overall: 20 7/8 x 12 13/16 in. (53 x 32.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",7c04d87f067f
Janet Halleck Drake,Henry Inman,American,1801,1846,1825,1825,Oil on canvas,29 3/4 x 24 3/4 in. (75.6 x 62.9 cm),Paintings,1996,cce29f179055
Cannon Rock,Winslow Homer,American,1836,1910,1895,1895,Oil on canvas,40 x 40 in. (101.6 x 101.6 cm),Paintings,"Gift of George A. Hearn, 1906",6971d7f2d060
Design for chancel,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, pen and brown ink, graphite",Overall: 31 1/4 x 30 in. (79.4 x 76.2 cm) Design: 26 1/4 x 26 1/4 in. (66.7 x 66.7 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",c8c025b5e28d
Red and Yellow Cliffs,Georgia O'Keeffe,American,1887,1986,1940,1940,Oil on canvas,24 x 36 in. (61 x 91.4 cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986",a96d52278832
Young Mother Sewing,Mary Cassatt,American,1844,1926,1900,1900,Oil on canvas,36 3/8 x 29 in. (92.4 x 73.7 cm),Paintings,"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",b0219fa07e03
Design for figural window,Louis Comfort Tiffany,American,1848,1933,1910,1920,"Gouache and watercolor over silver gelatin photograph collage and watercolor, pen and black India ink, and graphite on wove paper support:",16 9/16 x 11 13/16 in. (42 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",3271fa1b0b1a
Taking the Census,Francis William Edmonds,American,1806,1863,1854,1854,Oil on canvas,28 x 38 in. (71.1 x 96.5 cm),Paintings,"Gift of Diane, Daniel, and Mathew Wolf, in honor of John K. Howat and Lewis I. Sharp, 2006",8b497dd853c5
Nude with Tattoo,Joe Brainard,American,1942,1994,1974,1974,Oil and ink on canvas,"H. 16, W. 12 inches (40.6 x 30.5 cm.)",Paintings,"Gift of Stanley Posthorn, in memory of the artist, 1997",dcd8d1f47845
